pair,year,a,b,c,d,label
ABEMACICLIB|JOINT DISLOCATION,2024,3,237,683,451315,0
ABEMACICLIB|JOINT DISLOCATION,2025,0,1192,1996,1555941,0
ABEMACICLIB|LIMB DISCOMFORT,2024,5,235,114,451884,0
ABEMACICLIB|LIMB DISCOMFORT,2025,0,1192,519,1557418,0
ABEMACICLIB|LYMPHOEDEMA,2024,5,235,54,451944,1
ABEMACICLIB|LYMPHOEDEMA,2025,7,1185,186,1557751,1
ABEMACICLIB|MEMORY IMPAIRMENT,2024,3,237,1756,450242,0
ABEMACICLIB|MEMORY IMPAIRMENT,2025,1,1191,5735,1552202,0
ABEMACICLIB|MENTAL FATIGUE,2024,3,237,9,451989,0
ABEMACICLIB|MENTAL FATIGUE,2025,0,1192,26,1557911,0
ABEMACICLIB|NAUSEA,2024,5,235,3682,448316,1
ABEMACICLIB|NAUSEA,2025,32,1160,14991,1542946,1
ABEMACICLIB|NEGATIVE THOUGHTS,2024,3,237,27,451971,0
ABEMACICLIB|NEGATIVE THOUGHTS,2025,0,1192,19,1557918,0
ABEMACICLIB|NERVOUSNESS,2024,3,237,168,451830,1
ABEMACICLIB|NERVOUSNESS,2025,3,1189,331,1557606,1
ABEMACICLIB|OESOPHAGITIS,2024,3,237,10,451988,0
ABEMACICLIB|OESOPHAGITIS,2025,0,1192,230,1557707,0
ABEMACICLIB|PAIN IN EXTREMITY,2024,5,235,2093,449905,0
ABEMACICLIB|PAIN IN EXTREMITY,2025,8,1184,6699,1551238,0
ABEMACICLIB|POLLAKIURIA,2024,5,235,21,451977,0
ABEMACICLIB|POLLAKIURIA,2025,0,1192,504,1557433,0
ABEMACICLIB|POOR QUALITY SLEEP,2024,3,237,24,451974,0
ABEMACICLIB|POOR QUALITY SLEEP,2025,0,1192,237,1557700,0
"ABEMACICLIB|SLEEP DISORDER DUE TO GENERAL MEDICAL CONDITION, INSOMNIA TYPE",2024,3,237,1824,450174,0
"ABEMACICLIB|SLEEP DISORDER DUE TO GENERAL MEDICAL CONDITION, INSOMNIA TYPE",2025,1,1191,2669,1555268,0
ABEMACICLIB|SOMNOLENCE,2024,3,237,396,451602,1
ABEMACICLIB|SOMNOLENCE,2025,6,1186,2831,1555106,1
ABEMACICLIB|TOOTH EXTRACTION,2024,5,235,8,451990,0
ABEMACICLIB|TOOTH EXTRACTION,2025,0,1192,90,1557847,0
ABEMACICLIB|TOOTHACHE,2024,5,235,71,451927,0
ABEMACICLIB|TOOTHACHE,2025,0,1192,238,1557699,0
ABEMACICLIB|VISUAL IMPAIRMENT,2024,3,237,265,451733,1
ABEMACICLIB|VISUAL IMPAIRMENT,2025,6,1186,2763,1555174,1
ABEMACICLIB|VOMITING,2024,5,235,3178,448820,0
ABEMACICLIB|VOMITING,2025,11,1181,12683,1545254,0
ABEMACICLIB|WEIGHT INCREASED,2024,8,232,3429,448569,0
ABEMACICLIB|WEIGHT INCREASED,2025,0,1192,8246,1549691,0
ABRILADA|ABDOMINAL PAIN,2024,24,516,844,450854,0
ABRILADA|ABDOMINAL PAIN,2025,0,100,5636,1553393,0
ABRILADA|ANAEMIA,2024,20,520,898,450800,0
ABRILADA|ANAEMIA,2025,0,100,3210,1555819,0
ABRILADA|APHTHOUS ULCER,2024,20,520,103,451595,0
ABRILADA|APHTHOUS ULCER,2025,0,100,100,1558929,0
ABRILADA|ARTHRALGIA,2024,22,518,2591,449107,0
ABRILADA|ARTHRALGIA,2025,1,99,8878,1550151,0
ABRILADA|BACK PAIN,2024,4,536,889,450809,0
ABRILADA|BACK PAIN,2025,1,99,3414,1555615,0
ABRILADA|BLOOD IRON DECREASED,2024,20,520,215,451483,0
ABRILADA|BLOOD IRON DECREASED,2025,0,100,396,1558633,0
ABRILADA|BRAIN FOG,2024,22,518,98,451600,0
ABRILADA|BRAIN FOG,2025,0,100,555,1558474,0
ABRILADA|CONDITION AGGRAVATED,2024,26,514,2638,449060,0
ABRILADA|CONDITION AGGRAVATED,2025,1,99,12855,1546174,0
ABRILADA|DIZZINESS,2024,22,518,2335,449363,0
ABRILADA|DIZZINESS,2025,0,100,9343,1549686,0
ABRILADA|DRUG DOSE OMISSION BY DEVICE,2024,4,536,30,451668,0
ABRILADA|DRUG DOSE OMISSION BY DEVICE,2025,0,100,424,1558605,0
ABRILADA|DYSPHAGIA,2024,20,520,236,451462,0
ABRILADA|DYSPHAGIA,2025,0,100,1406,1557623,0
ABRILADA|DYSPNOEA EXERTIONAL,2024,20,520,383,451315,0
ABRILADA|DYSPNOEA EXERTIONAL,2025,0,100,899,1558130,0
ABRILADA|FAECES HARD,2024,20,520,158,451540,0
ABRILADA|FAECES HARD,2025,0,100,46,1558983,0
ABRILADA|FATIGUE,2024,24,516,4281,447417,0
ABRILADA|FATIGUE,2025,1,99,15630,1543399,0
ABRILADA|GINGIVAL ULCERATION,2024,20,520,0,451698,0
ABRILADA|GINGIVAL ULCERATION,2025,0,100,2,1559027,0
ABRILADA|HAEMOGLOBIN DECREASED,2024,20,520,223,451475,0
ABRILADA|HAEMOGLOBIN DECREASED,2025,0,100,952,1558077,0
ABRILADA|INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,2024,20,520,1690,450008,1
ABRILADA|INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,2025,9,91,4465,1554564,1
ABRILADA|ODYNOPHAGIA,2024,20,520,0,451698,0
ABRILADA|ODYNOPHAGIA,2025,0,100,98,1558931,0
ABRILADA|ORAL MUCOSAL BLISTERING,2024,20,520,3,451695,0
ABRILADA|ORAL MUCOSAL BLISTERING,2025,0,100,77,1558952,0
ABRILADA|PHARYNGEAL ULCERATION,2024,20,520,0,451698,0
ABRILADA|PHARYNGEAL ULCERATION,2025,0,100,7,1559022,0
ABRILADA|STOMATITIS,2024,20,520,2626,449072,0
ABRILADA|STOMATITIS,2025,0,100,5256,1553773,0
ABRILADA|THERAPEUTIC PRODUCT EFFECT INCOMPLETE,2024,20,520,3637,448061,0
ABRILADA|THERAPEUTIC PRODUCT EFFECT INCOMPLETE,2025,0,100,3447,1555582,0
ABRILADA|TOOTH INFECTION,2024,20,520,136,451562,0
ABRILADA|TOOTH INFECTION,2025,0,100,133,1558896,0
ABRILADA|WRONG TECHNIQUE IN DEVICE USAGE PROCESS,2024,4,536,14,451684,0
ABRILADA|WRONG TECHNIQUE IN DEVICE USAGE PROCESS,2025,0,100,412,1558617,0
ACALABRUTINIB|ACQUIRED PHIMOSIS,2024,3,18,29,452188,0
ACALABRUTINIB|ACQUIRED PHIMOSIS,2025,0,76,0,1559053,0
ACALABRUTINIB|ARTERIAL PERFORATION,2024,3,18,29,452188,0
ACALABRUTINIB|ARTERIAL PERFORATION,2025,0,76,0,1559053,0
ACALABRUTINIB|BALANOPOSTHITIS,2024,3,18,29,452188,0
ACALABRUTINIB|BALANOPOSTHITIS,2025,0,76,8,1559045,0
ACALABRUTINIB|PAIN IN EXTREMITY,2024,3,18,2095,450122,0
ACALABRUTINIB|PAIN IN EXTREMITY,2025,0,76,6707,1552346,0
ACALABRUTINIB|SHOCK HAEMORRHAGIC,2024,3,18,48,452169,0
ACALABRUTINIB|SHOCK HAEMORRHAGIC,2025,0,76,133,1558920,0
ACALABRUTINIB|SYNCOPE,2024,3,18,214,452003,0
ACALABRUTINIB|SYNCOPE,2025,0,76,869,1558184,0
ACALABRUTINIB|URETERAL WALL THICKENING,2024,3,18,29,452188,0
ACALABRUTINIB|URETERAL WALL THICKENING,2025,0,76,0,1559053,0
ACECLOFENAC AND PARACETAMOL|BACK PAIN,2024,6,132,887,451213,1
ACECLOFENAC AND PARACETAMOL|BACK PAIN,2025,4,100,3411,1555614,1
ACECLOFENAC AND PARACETAMOL|BRAIN OEDEMA,2024,6,132,252,451848,1
ACECLOFENAC AND PARACETAMOL|BRAIN OEDEMA,2025,4,100,895,1558130,1
ACECLOFENAC AND PARACETAMOL|C-REACTIVE PROTEIN INCREASED,2024,6,132,1310,450790,1
ACECLOFENAC AND PARACETAMOL|C-REACTIVE PROTEIN INCREASED,2025,4,100,5240,1553785,1
ACECLOFENAC AND PARACETAMOL|CANDIDA INFECTION,2024,6,132,362,451738,1
ACECLOFENAC AND PARACETAMOL|CANDIDA INFECTION,2025,4,100,1080,1557945,1
ACECLOFENAC AND PARACETAMOL|ECZEMA,2024,6,132,519,451581,1
ACECLOFENAC AND PARACETAMOL|ECZEMA,2025,4,100,1530,1557495,1
ACECLOFENAC AND PARACETAMOL|FATIGUE,2024,6,132,4299,447801,1
ACECLOFENAC AND PARACETAMOL|FATIGUE,2025,4,100,15627,1543398,1
ACECLOFENAC AND PARACETAMOL|METASTASES TO CENTRAL NERVOUS SYSTEM,2024,6,132,245,451855,1
ACECLOFENAC AND PARACETAMOL|METASTASES TO CENTRAL NERVOUS SYSTEM,2025,4,100,871,1558154,1
ACECLOFENAC AND PARACETAMOL|METASTASES TO LYMPH NODES,2024,6,132,231,451869,1
ACECLOFENAC AND PARACETAMOL|METASTASES TO LYMPH NODES,2025,4,100,1002,1558023,1
ACECLOFENAC AND PARACETAMOL|NAIL BED INFLAMMATION,2024,6,132,268,451832,1
ACECLOFENAC AND PARACETAMOL|NAIL BED INFLAMMATION,2025,4,100,804,1558221,1
ACECLOFENAC AND PARACETAMOL|NASAL MUCOSAL DISORDER,2024,6,132,228,451872,1
ACECLOFENAC AND PARACETAMOL|NASAL MUCOSAL DISORDER,2025,4,100,798,1558227,1
ACECLOFENAC AND PARACETAMOL|NAUSEA,2024,6,132,3681,448419,1
ACECLOFENAC AND PARACETAMOL|NAUSEA,2025,4,100,15019,1544006,1
ACECLOFENAC AND PARACETAMOL|OFF LABEL USE,2024,6,132,6561,445539,0
ACECLOFENAC AND PARACETAMOL|OFF LABEL USE,2025,4,100,27940,1531085,0
ACECLOFENAC AND PARACETAMOL|PARONYCHIA,2024,6,132,237,451863,1
ACECLOFENAC AND PARACETAMOL|PARONYCHIA,2025,4,100,845,1558180,1
ACECLOFENAC AND PARACETAMOL|PLEURAL EFFUSION,2024,6,132,725,451375,1
ACECLOFENAC AND PARACETAMOL|PLEURAL EFFUSION,2025,4,100,2186,1556839,1
ACECLOFENAC AND PARACETAMOL|PSEUDOMONAL SEPSIS,2024,6,132,228,451872,1
ACECLOFENAC AND PARACETAMOL|PSEUDOMONAL SEPSIS,2025,4,100,825,1558200,1
ACECLOFENAC AND PARACETAMOL|RESTLESSNESS,2024,6,132,322,451778,1
ACECLOFENAC AND PARACETAMOL|RESTLESSNESS,2025,4,100,1323,1557702,1
ACECLOFENAC AND PARACETAMOL|SEPSIS,2024,6,132,429,451671,1
ACECLOFENAC AND PARACETAMOL|SEPSIS,2025,4,100,3482,1555543,1
ACECLOFENAC AND PARACETAMOL|SKIN FISSURES,2024,6,132,280,451820,1
ACECLOFENAC AND PARACETAMOL|SKIN FISSURES,2025,4,100,932,1558093,1
ACECLOFENAC AND PARACETAMOL|STREPTOCOCCAL SEPSIS,2024,6,132,228,451872,1
ACECLOFENAC AND PARACETAMOL|STREPTOCOCCAL SEPSIS,2025,4,100,827,1558198,1
ACECLOFENAC AND PARACETAMOL|VARICOSE VEIN,2024,6,132,240,451860,1
ACECLOFENAC AND PARACETAMOL|VARICOSE VEIN,2025,4,100,857,1558168,1
ACECLOFENAC AND PARACETAMOL|VASCULAR DEVICE INFECTION,2024,12,126,538,451562,1
ACECLOFENAC AND PARACETAMOL|VASCULAR DEVICE INFECTION,2025,4,100,928,1558097,1
ACECLOFENAC AND PARACETAMOL|VOMITING,2024,6,132,3177,448923,1
ACECLOFENAC AND PARACETAMOL|VOMITING,2025,4,100,12690,1546335,1
ACETAMINOPHEN|ANAEMIA,2024,18,4378,900,446942,0
ACETAMINOPHEN|ANAEMIA,2025,36,16763,3174,1539156,0
ACETAMINOPHEN|BALANCE DISORDER,2024,6,4390,220,447622,0
ACETAMINOPHEN|BALANCE DISORDER,2025,34,16765,1639,1540691,0
ACETAMINOPHEN|BLOOD PRESSURE DIASTOLIC DECREASED,2024,7,4389,86,447756,0
ACETAMINOPHEN|BLOOD PRESSURE DIASTOLIC DECREASED,2025,4,16795,255,1542075,0
ACETAMINOPHEN|BLOOD PRESSURE FLUCTUATION,2024,7,4389,129,447713,0
ACETAMINOPHEN|BLOOD PRESSURE FLUCTUATION,2025,5,16794,461,1541869,0
ACETAMINOPHEN|BRAIN OEDEMA,2024,8,4388,250,447592,0
ACETAMINOPHEN|BRAIN OEDEMA,2025,13,16786,886,1541444,0
ACETAMINOPHEN|BRONCHITIS,2024,30,4366,1207,446635,0
ACETAMINOPHEN|BRONCHITIS,2025,9,16790,941,1541389,0
ACETAMINOPHEN|CANDIDA INFECTION,2024,9,4387,359,447483,0
ACETAMINOPHEN|CANDIDA INFECTION,2025,8,16791,1076,1541254,0
ACETAMINOPHEN|COUGH,2024,30,4366,1507,446335,0
ACETAMINOPHEN|COUGH,2025,56,16743,5612,1536718,0
ACETAMINOPHEN|DEPRESSED LEVEL OF CONSCIOUSNESS,2024,6,4390,215,447627,1
ACETAMINOPHEN|DEPRESSED LEVEL OF CONSCIOUSNESS,2025,30,16769,996,1541334,1
ACETAMINOPHEN|DIAPHRAGMATIC HERNIA,2024,4,4392,14,447828,0
ACETAMINOPHEN|DIAPHRAGMATIC HERNIA,2025,0,16799,0,1542330,0
ACETAMINOPHEN|DIARRHOEA HAEMORRHAGIC,2024,4,4392,99,447743,0
ACETAMINOPHEN|DIARRHOEA HAEMORRHAGIC,2025,1,16798,101,1542229,0
ACETAMINOPHEN|EYE INJURY,2024,9,4387,297,447545,0
ACETAMINOPHEN|EYE INJURY,2025,0,16799,59,1542271,0
ACETAMINOPHEN|GASTRIC ULCER,2024,4,4392,53,447789,0
ACETAMINOPHEN|GASTRIC ULCER,2025,0,16799,101,1542229,0
ACETAMINOPHEN|GASTRITIS,2024,5,4391,134,447708,0
ACETAMINOPHEN|GASTRITIS,2025,0,16799,264,1542066,0
ACETAMINOPHEN|GASTROENTERITIS VIRAL,2024,7,4389,150,447692,0
ACETAMINOPHEN|GASTROENTERITIS VIRAL,2025,0,16799,255,1542075,0
ACETAMINOPHEN|HAEMOGLOBIN ABNORMAL,2024,4,4392,14,447828,0
ACETAMINOPHEN|HAEMOGLOBIN ABNORMAL,2025,0,16799,82,1542248,0
ACETAMINOPHEN|HEART RATE DECREASED,2024,8,4388,175,447667,0
ACETAMINOPHEN|HEART RATE DECREASED,2025,8,16791,557,1541773,0
ACETAMINOPHEN|HEPATIC CIRRHOSIS,2024,9,4387,387,447455,0
ACETAMINOPHEN|HEPATIC CIRRHOSIS,2025,13,16786,1824,1540506,0
ACETAMINOPHEN|HYPOAESTHESIA ORAL,2024,6,4390,23,447819,0
ACETAMINOPHEN|HYPOAESTHESIA ORAL,2025,4,16795,242,1542088,0
ACETAMINOPHEN|JOINT ARTHROPLASTY,2024,6,4390,23,447819,0
ACETAMINOPHEN|JOINT ARTHROPLASTY,2025,0,16799,0,1542330,0
ACETAMINOPHEN|LEUKOPENIA,2024,12,4384,259,447583,0
ACETAMINOPHEN|LEUKOPENIA,2025,7,16792,842,1541488,0
ACETAMINOPHEN|METASTASES TO CENTRAL NERVOUS SYSTEM,2024,8,4388,243,447599,0
ACETAMINOPHEN|METASTASES TO CENTRAL NERVOUS SYSTEM,2025,10,16789,865,1541465,0
ACETAMINOPHEN|METASTASES TO LYMPH NODES,2024,8,4388,229,447613,0
ACETAMINOPHEN|METASTASES TO LYMPH NODES,2025,10,16789,996,1541334,0
ACETAMINOPHEN|NAIL BED INFLAMMATION,2024,8,4388,266,447576,0
ACETAMINOPHEN|NAIL BED INFLAMMATION,2025,8,16791,800,1541530,0
ACETAMINOPHEN|NASAL MUCOSAL DISORDER,2024,8,4388,226,447616,0
ACETAMINOPHEN|NASAL MUCOSAL DISORDER,2025,8,16791,794,1541536,0
ACETAMINOPHEN|NEUTROPENIA,2024,68,4328,1389,446453,0
ACETAMINOPHEN|NEUTROPENIA,2025,21,16778,2575,1539755,0
ACETAMINOPHEN|OCULAR HYPERAEMIA,2024,4,4392,150,447692,1
ACETAMINOPHEN|OCULAR HYPERAEMIA,2025,9,16790,351,1541979,1
ACETAMINOPHEN|ORAL FUNGAL INFECTION,2024,4,4392,108,447734,0
ACETAMINOPHEN|ORAL FUNGAL INFECTION,2025,0,16799,2,1542328,0
ACETAMINOPHEN|OROPHARYNGEAL PAIN,2024,15,4381,503,447339,0
ACETAMINOPHEN|OROPHARYNGEAL PAIN,2025,19,16780,1365,1540965,0
ACETAMINOPHEN|PARONYCHIA,2024,8,4388,235,447607,0
ACETAMINOPHEN|PARONYCHIA,2025,8,16791,841,1541489,0
ACETAMINOPHEN|PLEURAL EFFUSION,2024,41,4355,690,447152,0
ACETAMINOPHEN|PLEURAL EFFUSION,2025,19,16780,2171,1540159,0
ACETAMINOPHEN|POLLAKIURIA,2024,3,4393,23,447819,0
ACETAMINOPHEN|POLLAKIURIA,2025,3,16796,501,1541829,0
ACETAMINOPHEN|PRODUCT PRESCRIBING ISSUE,2024,4,4392,140,447702,0
ACETAMINOPHEN|PRODUCT PRESCRIBING ISSUE,2025,2,16797,357,1541973,0
ACETAMINOPHEN|PSEUDOMONAL SEPSIS,2024,8,4388,226,447616,0
ACETAMINOPHEN|PSEUDOMONAL SEPSIS,2025,8,16791,821,1541509,0
ACETAMINOPHEN|PULMONARY FUNCTION TEST DECREASED,2024,6,4390,23,447819,0
ACETAMINOPHEN|PULMONARY FUNCTION TEST DECREASED,2025,0,16799,59,1542271,0
ACETAMINOPHEN|RENAL FAILURE,2024,17,4379,405,447437,0
ACETAMINOPHEN|RENAL FAILURE,2025,4,16795,745,1541585,0
ACETAMINOPHEN|RESPIRATORY TRACT INFECTION,2024,14,4382,414,447428,0
ACETAMINOPHEN|RESPIRATORY TRACT INFECTION,2025,9,16790,1025,1541305,0
ACETAMINOPHEN|RESTLESSNESS,2024,9,4387,319,447523,0
ACETAMINOPHEN|RESTLESSNESS,2025,10,16789,1317,1541013,0
ACETAMINOPHEN|SCAB,2024,5,4391,82,447760,0
ACETAMINOPHEN|SCAB,2025,1,16798,38,1542292,0
ACETAMINOPHEN|SEPSIS,2024,11,4385,424,447418,0
ACETAMINOPHEN|SEPSIS,2025,40,16759,3446,1538884,0
ACETAMINOPHEN|SKIN FISSURES,2024,8,4388,278,447564,0
ACETAMINOPHEN|SKIN FISSURES,2025,9,16790,927,1541403,0
ACETAMINOPHEN|SKIN LACERATION,2024,7,4389,257,447585,0
ACETAMINOPHEN|SKIN LACERATION,2025,1,16798,311,1542019,0
ACETAMINOPHEN|SOPOR,2024,3,4393,95,447747,0
ACETAMINOPHEN|SOPOR,2025,0,16799,32,1542298,0
ACETAMINOPHEN|SPINAL OSTEOARTHRITIS,2024,6,4390,56,447786,0
ACETAMINOPHEN|SPINAL OSTEOARTHRITIS,2025,0,16799,98,1542232,0
ACETAMINOPHEN|STEVENS-JOHNSON SYNDROME,2024,6,4390,242,447600,0
ACETAMINOPHEN|STEVENS-JOHNSON SYNDROME,2025,2,16797,253,1542077,0
ACETAMINOPHEN|STREPTOCOCCAL SEPSIS,2024,8,4388,226,447616,0
ACETAMINOPHEN|STREPTOCOCCAL SEPSIS,2025,9,16790,822,1541508,0
ACETAMINOPHEN|THROAT IRRITATION,2024,6,4390,234,447608,1
ACETAMINOPHEN|THROAT IRRITATION,2025,35,16764,766,1541564,1
ACETAMINOPHEN|THYROID HORMONES DECREASED,2024,4,4392,14,447828,0
ACETAMINOPHEN|THYROID HORMONES DECREASED,2025,1,16798,90,1542240,0
ACETAMINOPHEN|VARICOSE VEIN,2024,8,4388,238,447604,0
ACETAMINOPHEN|VARICOSE VEIN,2025,8,16791,853,1541477,0
ACETAMINOPHEN|VASCULAR DEVICE INFECTION,2024,16,4380,534,447308,0
ACETAMINOPHEN|VASCULAR DEVICE INFECTION,2025,8,16791,924,1541406,0
ACETAMINOPHEN|WOUND HAEMORRHAGE,2024,5,4391,34,447808,0
ACETAMINOPHEN|WOUND HAEMORRHAGE,2025,0,16799,2,1542328,0
ACETAMINOPHEN AND CODEINE|BLEPHAROSPASM,2024,5,351,1221,450661,1
ACETAMINOPHEN AND CODEINE|BLEPHAROSPASM,2025,15,1586,3171,1554357,1
ACETAMINOPHEN AND CODEINE|CONTRAINDICATED PRODUCT ADMINISTERED,2024,6,350,1727,450155,1
ACETAMINOPHEN AND CODEINE|CONTRAINDICATED PRODUCT ADMINISTERED,2025,19,1582,5948,1551580,1
ACETAMINOPHEN AND CODEINE|DECREASED APPETITE,2024,6,350,2225,449657,0
ACETAMINOPHEN AND CODEINE|DECREASED APPETITE,2025,13,1588,10281,1547247,0
ACETAMINOPHEN AND CODEINE|EPILEPSY,2024,5,351,1274,450608,1
ACETAMINOPHEN AND CODEINE|EPILEPSY,2025,12,1589,3118,1554410,1
ACETAMINOPHEN AND CODEINE|GASTROOESOPHAGEAL REFLUX DISEASE,2024,5,351,1329,450553,1
ACETAMINOPHEN AND CODEINE|GASTROOESOPHAGEAL REFLUX DISEASE,2025,13,1588,4088,1553440,1
ACETAMINOPHEN AND CODEINE|HYPOAESTHESIA,2024,6,350,2303,449579,0
ACETAMINOPHEN AND CODEINE|HYPOAESTHESIA,2025,11,1590,7766,1549762,0
ACETAMINOPHEN AND CODEINE|INTENTIONAL PRODUCT USE ISSUE,2024,6,350,3085,448797,0
ACETAMINOPHEN AND CODEINE|INTENTIONAL PRODUCT USE ISSUE,2025,15,1586,8057,1549471,0
ACETAMINOPHEN AND CODEINE|MEMORY IMPAIRMENT,2024,5,351,1754,450128,1
ACETAMINOPHEN AND CODEINE|MEMORY IMPAIRMENT,2025,12,1589,5724,1551804,1
ACETAMINOPHEN AND CODEINE|MIGRAINE,2024,5,351,1591,450291,1
ACETAMINOPHEN AND CODEINE|MIGRAINE,2025,10,1591,4501,1553027,1
ACETAMINOPHEN AND CODEINE|OEDEMA PERIPHERAL,2024,3,353,1120,450762,0
ACETAMINOPHEN AND CODEINE|OEDEMA PERIPHERAL,2025,3,1598,3600,1553928,0
ACETAMINOPHEN AND CODEINE|PRODUCT QUALITY ISSUE,2024,5,351,1517,450365,1
ACETAMINOPHEN AND CODEINE|PRODUCT QUALITY ISSUE,2025,12,1589,3079,1554449,1
ACETAMINOPHEN AND CODEINE|PRODUCT USE IN UNAPPROVED INDICATION,2024,7,349,2278,449604,0
ACETAMINOPHEN AND CODEINE|PRODUCT USE IN UNAPPROVED INDICATION,2025,18,1583,9446,1548082,0
ACETAMINOPHEN AND CODEINE|RHEUMATIC FEVER,2024,6,350,2246,449636,1
ACETAMINOPHEN AND CODEINE|RHEUMATIC FEVER,2025,14,1587,4936,1552592,1
ACETAMINOPHEN AND CODEINE|RHEUMATOID FACTOR POSITIVE,2024,6,350,2044,449838,1
ACETAMINOPHEN AND CODEINE|RHEUMATOID FACTOR POSITIVE,2025,11,1590,3683,1553845,1
ACETAMINOPHEN AND CODEINE|SWOLLEN JOINT COUNT INCREASED,2024,5,351,1766,450116,1
ACETAMINOPHEN AND CODEINE|SWOLLEN JOINT COUNT INCREASED,2025,9,1592,2849,1554679,1
ACETAMINOPHEN AND CODEINE|TASTE DISORDER,2024,5,351,1752,450130,1
ACETAMINOPHEN AND CODEINE|TASTE DISORDER,2025,14,1587,3381,1554147,1
